IGBP iq    i     j    rlong      rlat  iveg frac-c4
     1     1     1    225.00    -35.60   0  0.00
     2     2     1    224.30    -36.06   0  0.00
     3     3     1    223.38    -36.56   0  0.00
     4     4     1    222.30    -37.10   0  0.00
     5     5     1    221.08    -37.67   0  0.00
     6     6     1    219.75    -38.25   0  0.00
     7     7     1    218.30    -38.85   0  0.00
     8     8     1    216.75    -39.46   0  0.00
     9     9     1    215.11    -40.07   0  0.00
    10    10     1    213.37    -40.67   0  0.00
    11    11     1    211.54    -41.26   0  0.00
    12    12     1    209.62    -41.84   0  0.00
    13    13     1    207.61    -42.39   0  0.00
    14    14     1    205.53    -42.92   0  0.00
    15    15     1    203.36    -43.42   0  0.00
    16    16     1    201.12    -43.89   0  0.00
    17    17     1    198.82    -44.31   0  0.00
    18    18     1    196.44    -44.69   0  0.00
    19    19     1    194.02    -45.03   0  0.00
    20    20     1    191.54    -45.31   0  0.00
    21    21     1    189.02    -45.54   0  0.00
    22    22     1    186.47    -45.72   0  0.00
    23    23     1    183.89    -45.84   0  0.00
    24    24     1    181.30    -45.90   0  0.00
    25    25     1    178.70    -45.90   0  0.00
    26    26     1    176.11    -45.84   0  0.00
    27    27     1    173.53    -45.72   0  0.00
    28    28     1    170.98    -45.54   0  0.00
    29    29     1    168.46    -45.31   2  0.00
    30    30     1    165.98    -45.03   0  0.00
    31    31     1    163.56    -44.69   0  0.00
    32    32     1    161.18    -44.31   0  0.00
    33    33     1    158.88    -43.89   0  0.00
    34    34     1    156.64    -43.42   0  0.00
    35    35     1    154.47    -42.92   0  0.00
    36    36     1    152.39    -42.39   0  0.00
    37    37     1    150.38    -41.84   0  0.00
    38    38     1    148.46    -41.26   0  0.00
    39    39     1    146.63    -40.67   0  0.00
    40    40     1    144.89    -40.07   0  0.00
    41    41     1    143.25    -39.46   0  0.00
    42    42     1    141.70    -38.85   0  0.00
    43    43     1    140.25    -38.25   0  0.00
    44    44     1    138.92    -37.67   0  0.00
    45    45     1    137.70    -37.10   0  0.00
    46    46     1    136.62    -36.56   0  0.00
    47    47     1    135.70    -36.06   0  0.00
    48    48     1    135.00    -35.60   0  0.00
    49     1     2    225.70    -36.06   0  0.00
    50     2     2    225.00    -36.71   0  0.00
    51     3     2    224.11    -37.35   0  0.00
    52     4     2    223.06    -38.00   0  0.00
    53     5     2    221.87    -38.66   0  0.00
    54     6     2    220.56    -39.33   0  0.00
    55     7     2    219.13    -40.00   0  0.00
    56     8     2    217.59    -40.68   0  0.00
    57     9     2    215.95    -41.35   0  0.00
    58    10     2    214.20    -42.01   0  0.00
    59    11     2    212.36    -42.66   0  0.00
    60    12     2    210.42    -43.29   0  0.00
    61    13     2    208.39    -43.90   0  0.00
    62    14     2    206.27    -44.47   0  0.00
    63    15     2    204.06    -45.02   0  0.00
    64    16     2    201.78    -45.52   0  0.00
    65    17     2    199.41    -45.98   0  0.00
    66    18     2    196.98    -46.40   0  0.00
    67    19     2    194.48    -46.76   0  0.00
    68    20     2    191.93    -47.07   0  0.00
    69    21     2    189.33    -47.32   0  0.00
    70    22     2    186.69    -47.51   0  0.00
    71    23     2    184.02    -47.64   0  0.00
    72    24     2    181.34    -47.70   0  0.00
    73    25     2    178.66    -47.70   0  0.00
    74    26     2    175.98    -47.64   0  0.00
    75    27     2    173.31    -47.51   0  0.00
    76    28     2    170.67    -47.32   0  0.00
    77    29     2    168.07    -47.07   0  0.00
    78    30     2    165.52    -46.76   0  0.00
    79    31     2    163.02    -46.40   0  0.00
    80    32     2    160.59    -45.98   0  0.00
    81    33     2    158.22    -45.52   0  0.00
    82    34     2    155.94    -45.02   0  0.00
